交易日期,收盘价,市盈率TTM,市盈率LYR,市盈率FPE,市盈率(动态),市盈率TTM加权,市盈率TTM剔除负值,市净率(LF),市净率加权,股息率,市销率(PS),市销率LYR,市销率TTM加权,市现率(PCF),市现率LYR,市现率TTM加权,调仓标志
2023-06-01,14441.51,35.9092,34.2415,,,,,7.5748,,0.6763,4.6503,4.715,,21.612,21.1199,,
2023-06-02,14546.64,36.173,34.4967,,,,,7.6311,,0.6692,4.6848,4.7502,,21.7722,21.2773,,
2023-06-05,14556.5,36.2286,34.5497,,,,,7.6428,,0.663,4.692,4.7575,,21.8057,21.31,,
2023-06-06,14558.09,36.2646,34.5977,,,,,7.6534,,0.6624,4.6983,4.7641,,21.8348,21.3396,,
2023-06-07,14303.29,35.5536,33.9194,,,,,7.5034,,0.6753,4.6062,4.6707,,21.4067,20.9212,,
2023-06-08,14484.54,35.9625,34.3095,,,,,7.5896,,0.67,4.6591,4.7244,,21.6529,21.1618,,20230608&纳入:GEHC.O-GE HEALTHCARE;剔除:FI.N-费哲金融服务(FISERV)
2023-06-09,14528.36,36.0217,34.3817,,,,,7.6684,,0.6689,4.6632,4.7284,,21.744,21.2419,,
2023-06-12,14784.3,36.6285,34.961,,,,,7.7976,,0.6555,4.7417,4.8081,,22.1104,21.5998,,
2023-06-13,14900.85,36.8779,35.1989,,,,,7.8507,,0.6536,4.774,4.8408,,22.2608,21.7468,,
2023-06-14,15005.69,37.0834,35.3952,,,,,7.8945,,0.6565,4.8006,4.8678,,22.3849,21.868,,
2023-06-15,15185.48,37.5348,35.8339,,,,,7.9903,,0.6401,4.8596,4.9281,,22.6599,22.1391,,
2023-06-16,15083.92,37.254,35.5658,,,,,7.9305,,0.6449,4.8233,4.8913,,22.4903,21.9734,,
2023-06-20,15070.15,37.2269,35.5227,,,,,7.9209,,0.6457,4.8179,4.8853,,22.4676,21.9468,,
2023-06-21,14867.45,36.7009,35.0207,,,,,7.809,,0.6648,4.7498,4.8163,,22.1501,21.6367,,
2023-06-22,15042.32,37.1978,35.4981,,,,,7.9154,,0.6474,4.8143,4.8819,,22.4488,21.9316,,
2023-06-23,14891.48,36.8294,35.1465,,,,,7.837,,0.6539,4.7666,4.8336,,22.2264,21.7144,,
2023-06-26,14689.02,36.2304,34.5971,,,,,7.7145,,0.6641,4.6919,4.758,,21.8949,21.375,,
2023-06-27,14945.91,36.8174,35.1463,,,,,7.8374,,0.6537,4.7632,4.8336,,22.2843,21.7143,,
2023-06-28,14964.58,37.2455,35.2523,,,,,7.8669,,0.6518,4.7832,4.8482,,22.449,21.7798,,
2023-06-29,14939.95,36.6205,34.6639,,,,,7.8777,,0.6566,4.7707,4.8343,,22.2163,21.567,,20230629&纳入:ON.O-安森美半导体(ON SEMICONDUCTOR);剔除:RIVN.O-RIVIAN AUTOMOTIVE
2023-06-30,15179.21,37.1814,35.1949,,,,,7.9984,,0.6441,4.8438,4.9084,,22.5566,21.8973,,
2023-07-03,15208.69,37.2135,35.2254,,,,,8.0053,,0.6484,4.848,4.9126,,22.5761,21.9163,,
2023-07-05,15203.78,37.2609,35.2702,,,,,8.0155,,0.6559,4.8541,4.9189,,22.6049,21.9442,,
2023-07-06,15089.45,36.9667,34.9917,,,,,7.9522,,0.6471,4.8158,4.88,,22.4264,21.7709,,
2023-07-07,15036.85,36.8291,34.8614,,,,,7.9226,,0.6513,4.7979,4.8619,,22.3429,21.6898,,
2023-07-10,15045.64,36.7057,34.7446,,,,,7.8961,,0.6515,4.7818,4.8456,,22.268,21.6172,,
2023-07-11,15119.06,36.8714,34.9014,,,,,7.9317,,0.6487,4.8034,4.8675,,22.3685,21.7147,,
2023-07-12,15307.23,37.3555,35.3597,,,,,8.0359,,0.6403,4.8665,4.9314,,22.6623,21.9999,,
2023-07-13,15571.98,37.9981,36.0536,,,,,8.192,,0.628,4.96,5.0279,,23.0982,22.4346,,
2023-07-14,15565.6,38.0235,36.0777,,,,,8.1974,,0.6276,4.9633,5.0313,,23.1137,22.4496,,
2023-07-17,15713.28,38.3967,36.4049,,,,,8.3111,,0.6236,5.0033,5.0713,,23.3044,22.6363,,20230717&纳入:TTD.O-TRADE DESK;剔除:ATVI.O-动视暴雪(ACTIVISION BLIZZARD)(退市)
2023-07-18,15841.35,38.6422,36.6377,,,,,8.3643,,0.6196,5.0353,5.1037,,23.4534,22.7811,,
2023-07-19,15826.35,38.3951,36.5609,,,,,8.3286,,0.6209,5.0113,5.093,,23.3984,22.7333,,
2023-07-20,15466.088,37.5078,35.7039,,,,,8.1335,,0.6357,4.8939,4.9736,,22.8499,22.2004,,
2023-07-21,15425.67,37.4426,35.6418,,,,,8.1295,,0.6369,4.8854,4.965,,22.8101,22.1618,,
2023-07-24,15448.02,37.5614,35.7666,,,,,8.145,,0.6346,4.9021,4.9824,,22.8837,22.2394,,
