交易日期,收盘价,市盈率TTM,市盈率LYR,市盈率FPE,市盈率(动态),市盈率TTM加权,市盈率TTM剔除负值,市净率(LF),市净率加权,股息率,市销率(PS),市销率LYR,市销率TTM加权,市现率(PCF),市现率LYR,市现率TTM加权,调仓标志
2015-03-13,4314.9,22.2676,22.2591,,,,,4.2675,,1.2348,3.2381,3.3074,,13.5583,14.0698,,
2015-03-16,4370.468,22.0891,22.0808,,,,,4.3217,,1.2174,3.2792,3.3494,,13.7305,14.2485,,
2015-03-17,4375.625,22.2555,22.2472,,,,,4.3269,,1.2161,3.2824,3.3529,,13.7475,14.2634,,
2015-03-18,4422.502,22.1626,22.1543,,,,,4.376,,1.2018,3.3196,3.3909,,13.9034,14.4252,,
2015-03-19,4426.825,22.3282,22.3199,,,,,4.3778,,1.2001,3.321,3.3923,,13.9091,14.4311,,
2015-03-20,4458.539,22.3392,22.3308,,,,,4.405,,1.1926,3.3417,3.4134,,13.9958,14.521,,
2015-03-23,4445.545,22.4024,22.394,,,,,4.3981,,1.1906,3.2306,3.2992,,14.037,14.5945,,20150323&纳入:WBA.O-沃尔格林联合博姿;剔除:EQIX.O-易昆尼克斯(EQUINIX)
2015-03-24,4430.985,22.3694,22.361,,,,,4.4051,,1.192,3.2303,3.3027,,14.0487,14.6265,,
2015-03-25,4329.287,22.3906,22.3822,,,,,4.2954,,1.2225,3.1498,3.2205,,13.6997,14.2626,,
2015-03-26,4315.258,22.4899,22.4815,,,,,4.282,,1.2297,3.14,3.2104,,13.657,14.2181,,
2015-03-27,4332.861,22.5095,22.5011,,,,,4.2903,,1.2307,3.1461,3.2167,,13.6837,14.2459,,
2015-03-30,4382.819,22.5707,22.5623,,,,,4.3258,,1.2284,3.1721,3.2433,,13.7968,14.3636,,
2015-03-31,4333.688,22.3087,22.3059,,,,,4.2792,,1.2651,3.1422,3.2097,,13.7256,14.2148,,
2015-04-01,4311.257,22.4565,22.4537,,,,,4.2527,,1.2602,3.1246,3.1919,,13.6545,14.1358,,
2015-04-02,4316.006,22.4565,22.4537,,,,,4.2527,,1.2401,3.1246,3.1918,,13.6542,14.1355,,
2015-04-06,4350.979,22.6269,22.624,,,,,4.2879,,1.2299,3.1505,3.2182,,13.7674,14.2526,,
2015-04-07,4344.08,22.7531,22.7503,,,,,4.2832,,1.2312,3.1471,3.2148,,13.7524,14.2372,,
2015-04-08,4375.96,22.6239,22.6211,,,,,4.3162,,1.2246,3.1698,3.2375,,13.8568,14.3493,,
2015-04-09,4403.953,22.6239,22.6211,,,,,4.3004,,1.2163,3.1717,3.2535,,13.9177,14.4203,,
2015-04-10,4422.022,22.8342,22.8313,,,,,4.3169,,1.2116,3.1839,3.266,,13.9711,14.4757,,
2015-04-13,4409.208,22.6819,22.679,,,,,4.3063,,1.2147,3.1761,3.2579,,13.9367,14.44,,
2015-04-14,4397.645,22.6348,22.6319,,,,,4.2955,,1.2186,3.1653,3.2471,,13.8544,14.3918,,
2015-04-15,4424.529,22.2133,22.2104,,,,,4.3189,,1.2118,3.1821,3.2649,,13.9366,14.4708,,
2015-04-16,4418.831,22.3305,22.3277,,,,,4.3173,,1.2125,3.1802,3.2629,,13.9324,14.462,,
2015-04-17,4351.799,22.3268,22.324,,,,,4.2539,,1.2311,3.1322,3.2135,,13.7242,14.2432,,
2015-04-20,4417.397,22.0975,22.0947,,,,,4.3225,,1.2116,3.1825,3.2656,,13.9459,14.4739,,
2015-04-21,4435.977,22.046,22.0432,,,,,4.3355,,1.2068,3.1927,3.2784,,13.9866,14.5304,,
